Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-04-15,30.26,446.71,6059.15,1517.13,1322.11,0,0,3.68,11.84,401.53,558.2,0,0,0,1736.02,1411.98,872.64,881.17,4.13,22.54,59.88,244.92,0,0,0,0,2.68,0,20.53,1928.91,8.95,8.91,5.79,6.61,42.6,0,0,0,13.23,0,0,0,0
2024-04-16,339.46,1163.48,3481.81,1279.28,263.28,0,73.67,0.46,40.08,552.54,207.29,18.7,27.27,4242.92,274.58,582.22,857.54,2848.53,9.7,42.82,72.64,469.09,0,0,0,0,0.62,2.68,0,18.19,0,0,0,0,14.05,0,0,0,13.22,0,0,0,0
2024-04-17,97.93,4305.98,9754,1089.34,1548.69,0,47.83,1.38,20.83,202.95,3123.11,0,10.16,12841.1,474.85,2608.95,109.81,370.3,0.88,7.02,35.18,2.7,0,3.1,0,1.65,1.1,2.98,0,62.4,0,0,2.89,6.61,11.57,0,0,0,6.61,0,0,0,0
2024-04-18,70.68,2088.52,58407.58,946.77,534.76,0,80.32,23.32,146.67,682.74,2729.36,2019.45,35.3,53.67,1221.12,211.29,1323.83,1527.34,0,0,40.56,23.17,0,0,0,0,27.09,0,0,94.27,6.6,0,0,0,2.12,0,0,0,0,0,0,0,0
2024-04-22,1344.42,340380.85,7987.97,1157.12,471.39,0,26.77,0,541.23,526.79,9592.61,0,96.84,9353.32,767.27,70.97,62.74,434.32,3.85,492.02,28.86,15.91,0,0,0,0.66,0.22,12.63,20.5,0,6.26,0,0,0,4.82,0,0,0,0,0,0,0,0
2024-04-23,90.12,357.72,2773.52,374.64,408.66,0,7,0,71.21,254.99,352.9,0,210.56,409.9,27.73,650.21,629.63,340.84,1.9,0,46.17,14.39,0,0,0,0,0,13.37,90.78,0,0,0,0,0,10765.9,0,0,0,0,0,0,0,0
2024-04-24,83.85,3471.41,4525.76,247.48,3564.46,0,141.43,443.8,84.61,1827.52,970.55,485.49,12.59,357.17,14.51,519.77,589.5,1776.49,101.9,406.71,32.37,41.39,0,1.54,0,1.37,0.44,32.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-25,23.06,816.99,17564.01,59621.15,806.5,0,0,0,131.9,10.7,59.5,0,841.59,96.08,6.59,259392.99,942.37,25.36,33.11,0,101.18,27.23,0,0,0,30.34,0,32.92,102.28,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
2024-04-26,16.14,2773.84,8231.08,1066.38,8424.76,0,87.85,456.77,69.32,666.34,23984.26,39.46,1085.85,687.62,36.88,246954.14,305.95,7033.84,0.96,4.28,21.9,137.32,0,40.14,0,27.7,0,8462.06,61.35,94.02,15.78,49.41,2570.79,0,1.92,0,0,0,53.66,0,0,0,0
2024-04-29,106.05,1905.89,8118.12,35313.12,3029.73,0,14.58,697.45,18.54,1863.48,164.19,2014,0,780.5,548.34,1044.65,521.13,496.4,10.27,0,48.97,32.34,0,0,0,2.74,0.66,180.75,20.31,274.5,54.76,8.89,0,0,118.17,0,0,0,0,0,0,0,0
2024-04-30,42.21,1016.99,4110.11,140.74,3089.16,0,25.7,101.13,117.95,1194,382.98,113.6,2.59,82.15,4726.89,265.54,739.21,556.84,11.95,0,43.01,120.2,0,0,0,9.61,87.84,30.69,0,94.02,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-02,248.31,3077.33,8647.06,144.81,156.7,0,0.44,0,243.47,687.67,87.79,55.65,29.63,334.46,65.67,419764.27,2184.33,294.7,13.78,23.47,116.52,27.67,0,0,0,0.26,2.85,1.53,57.58,0,0,0,0,0,1104.74,0,0,0,15.77,0,0,0,0
2024-05-03,1446.28,672.88,6280.78,487.46,148.86,0,16.73,4.38,98.16,27.86,908.72,27.98,327.51,235.5,1841.91,143793.4,1944.96,1884.39,66.03,0,80.7,143.32,0,0,0,2.47,25.19,52.19,19.17,262.67,0,0,0,0,1.92,0,0,0,0,0,0,0,0
2024-05-06,83.05,1432.06,4474.01,1364.72,0,0,0,90.79,221.38,22.08,61.54,6.03,25.92,127.34,383.68,1201.01,62.33,74.25,10.66,0,24.87,8.06,0,4,0,765.45,0,7.43,19.14,0,0,0,0,0,172.23,0,0,0,0,0,0,0,0
2024-05-07,1361.36,3403.99,5968.5,188.45,339.59,0,299.21,158.61,41.38,16.74,52.3,0,325.9,489.78,566.27,1299.98,516.33,192.96,2.45,76.65,120.47,2.5,0,9.23,0,157.8,1.09,3.55,19.14,5909.51,33.09,0,0,0,10.39,0,0,0,0,0,0,0,0
2024-05-08,599.2,518.72,3529.28,223.71,168.62,0,0.52,1259.68,37.91,1729.08,778.65,2.45,17497.7,49.78,59.62,209.89,205.8,105.03,0,8.21,37.23,0,0,10.15,0,0,0,0.49,38.02,0,0,0,0,0,5044.11,0,0,0,11.62,0,0,0,0
2024-05-09,170.86,1041.03,2002.46,672.44,193.37,0,12.2,98.46,13.4,820.54,725.36,80.67,383.54,63.35,0,471.37,181.91,418.72,0,113.18,13.37,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.26,0,0,0,0
2024-05-10,95.93,731.21,1203.36,12066.78,702.12,0,20.16,74.15,78.33,2667.92,1108.21,0,12.57,113.69,3259.96,305.38,2046.63,676.34,82.39,0,49.41,38.14,0,15.37,0,0,0,0,56.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
